Transaction_ID,Date,Merchant,Category,Amount,Payment_Method,Location,Income_Expense,Account_Balance,Year,Month,Month_Name,Quarter,Day_Of_Week,Is_Weekend
100001,2023-01-01,IIT Delhi,Salary/Stipend,15836.56,Net Banking,New Delhi,Income,35836.56,2023,1,January,Q1,Sunday,1
100002,2023-01-01,IRCTC,Travel,6983.69,Net Banking,Gurugram,Expense,28852.87,2023,1,January,Q1,Sunday,1
100003,2023-01-01,Chaayos,Food & Dining,257.14,UPI,Online,Expense,28595.73,2023,1,January,Q1,Sunday,1
100004,2023-01-02,Parents,Family Support,39831.01,Net Banking,Hyderabad,Income,68426.74,2023,1,January,Q1,Monday,0
100005,2023-01-02,Uber,Transportation,218.68,UPI,Online,Expense,68208.06,2023,1,January,Q1,Monday,0
100006,2023-01-02,Swiggy,Food & Dining,325.2,Cash,Gurugram,Expense,67882.86,2023,1,January,Q1,Monday,0
100007,2023-01-03,HDFC Bank,Interest,222.52,Net Banking,Online,Income,68105.38,2023,1,January,Q1,Tuesday,0
100008,2023-01-03,Swiggy,Food & Dining,317.06,Cash,New Delhi,Expense,67788.32,2023,1,January,Q1,Tuesday,0
100009,2023-01-03,Udemy,Education,2191.2,Debit Card,Mumbai,Expense,65597.12,2023,1,January,Q1,Tuesday,0
100010,2023-01-03,Hostel Fee,Rent,5754.04,Credit Card,Online,Expense,59843.08,2023,1,January,Q1,Tuesday,0
100011,2023-01-04,Hostel Fee,Rent,5317.41,UPI,New Delhi,Expense,54525.67,2023,1,January,Q1,Wednesday,0
100012,2023-01-04,Zomato,Food & Dining,92.72,Credit Card,Mumbai,Expense,54432.95,2023,1,January,Q1,Wednesday,0
100013,2023-01-04,BSES,Bills,637.47,Debit Card,Noida,Expense,53795.48,2023,1,January,Q1,Wednesday,0
100014,2023-01-04,Ajio,Shopping,678.42,Debit Card,Online,Expense,53117.06,2023,1,January,Q1,Wednesday,0
100015,2023-01-04,Stationery,Miscellaneous,650.44,Credit Card,Noida,Expense,52466.62,2023,1,January,Q1,Wednesday,0
100016,2023-01-04,Printing Shop,Miscellaneous,226.4,Credit Card,Hyderabad,Expense,52240.22,2023,1,January,Q1,Wednesday,0
100017,2023-01-04,Airtel,Bills,719.29,Net Banking,Noida,Expense,51520.93,2023,1,January,Q1,Wednesday,0
100018,2023-01-04,Blinkit,Groceries,838.1,Credit Card,Online,Expense,50682.83,2023,1,January,Q1,Wednesday,0
100019,2023-01-05,IndiGo,Travel,4588.76,Cash,Hyderabad,Expense,46094.07,2023,1,January,Q1,Thursday,0
100020,2023-01-05,Campus Canteen,Food & Dining,170.06,Debit Card,Noida,Expense,45924.01,2023,1,January,Q1,Thursday,0
100021,2023-01-05,NPS,Investment,2227.55,UPI,Gurugram,Expense,43696.46,2023,1,January,Q1,Thursday,0
100022,2023-01-05,Airtel,Bills,262.9,Debit Card,Gurugram,Expense,43433.56,2023,1,January,Q1,Thursday,0
100023,2023-01-05,Uber,Transportation,205.51,UPI,Noida,Expense,43228.05,2023,1,January,Q1,Thursday,0
100024,2023-01-06,McDonald's,Food & Dining,276.86,Cash,Gurugram,Expense,42951.19,2023,1,January,Q1,Friday,0
100025,2023-01-06,Burger King,Food & Dining,180.96,Net Banking,New Delhi,Expense,42770.23,2023,1,January,Q1,Friday,0
100026,2023-01-06,BigBasket,Groceries,255.14,Cash,Noida,Expense,42515.09,2023,1,January,Q1,Friday,0
100027,2023-01-06,Groww,Investment,700.28,Net Banking,New Delhi,Expense,41814.81,2023,1,January,Q1,Friday,0
100028,2023-01-07,Delhi Metro,Transportation,83.91,UPI,New Delhi,Expense,41730.9,2023,1,January,Q1,Saturday,1
100029,2023-01-07,BSES,Bills,889.37,Net Banking,Online,Expense,40841.53,2023,1,January,Q1,Saturday,1
100030,2023-01-07,Gift Shop,Miscellaneous,465.81,Cash,Mumbai,Expense,40375.72,2023,1,January,Q1,Saturday,1
100031,2023-01-07,Ajio,Shopping,933.72,Net Banking,Unknown,Expense,39442.0,2023,1,January,Q1,Saturday,1
100032,2023-01-08,Gift Shop,Miscellaneous,84.37,UPI,Noida,Expense,39357.63,2023,1,January,Q1,Sunday,1
100033,2023-01-08,Udemy,Education,1178.68,Net Banking,Online,Expense,38178.95,2023,1,January,Q1,Sunday,1
100034,2023-01-08,Spotify,Entertainment,748.03,Credit Card,Online,Expense,37430.92,2023,1,January,Q1,Sunday,1
100035,2023-01-08,Udemy,Education,2188.91,Net Banking,Gurugram,Expense,35242.01,2023,1,January,Q1,Sunday,1
100036,2023-01-08,Ola,Transportation,202.93,UPI,Mumbai,Expense,35039.08,2023,1,January,Q1,Sunday,1
100037,2023-01-09,Gift Shop,Miscellaneous,285.64,Credit Card,Mumbai,Expense,34753.44,2023,1,January,Q1,Monday,0
100038,2023-01-09,Flipkart,Shopping,2074.19,UPI,Online,Expense,32679.25,2023,1,January,Q1,Monday,0
100039,2023-01-10,BookMyShow,Entertainment,338.12,Credit Card,Online,Expense,32341.13,2023,1,January,Q1,Tuesday,0
100040,2023-01-11,McDonald's,Food & Dining,88.67,Debit Card,New Delhi,Expense,32252.46,2023,1,January,Q1,Wednesday,0
100041,2023-01-11,Chaayos,Food & Dining,278.87,Cash,Mumbai,Expense,31973.59,2023,1,January,Q1,Wednesday,0
