Transaction_ID,Date,Merchant,Category,Amount,Payment_Method,Location,Income_Expense,Account_Balance
100001,2023-01-01,IIT Delhi,Salary/Stipend,15836.56,Net Banking,New Delhi,Income,35836.56
100002,2023-01-01,IRCTC,Travel,6983.69,Net Banking,Gurugram,Expense,28852.87
100003,2023-01-01,Chaayos,Food & Dining,257.14,UPI,Online,Expense,28595.73
100004,2023-01-02,Parents,Family Support,39831.01,Net Banking,Hyderabad,Income,68426.74
100005,2023-01-02,Uber,Transport,218.68,UPI,Online,Expense,68208.06
100006,02-Jan-2023,Swiggy,Food & Dining,325.2,Cash,Gurugram,Expense,67882.86
100007,2023-01-03,HDFC Bank,Interest,222.52,Net Banking,Online,Income,68105.38
100008,2023-01-03,Swiggy,food & dining,317.06,Cash,New Delhi,Expense,67788.32
100009,2023-01-03,Udemy,Education,2191.2,Debit Card,Mumbai,Expense,65597.12
100010,03/01/2023,Hostel Fee,Rent,5754.04,Credit Card,Online,Expense,59843.08
100011,04/01/2023,Hostel Fee,Rent,5317.41,UPI,New Delhi,Expense,54525.67
100012,2023-01-04,Zomato,Food & Dining,92.72,Credit Card,Mumbai,Expense,54432.95
100013,04-Jan-2023,BSES,Bills,637.47,Debit Card,Noida,Expense,53795.48
100014,04/01/2023,Ajio,Shopping,678.42,Debit Card,Online,Expense,53117.06
100015,04/01/2023,Stationery,Miscellaneous,650.44,Credit Card,Noida,Expense,52466.62
100016,04/01/2023,Printing Shop,Miscellaneous,226.4,Credit Card,Hyderabad,Expense,52240.22
100017,2023-01-04,Airtel,Bills,719.29,Net Banking,Noida,Expense,51520.93
100018,04-Jan-2023,Blinkit,Groceries,838.1,Credit Card,Online,Expense,50682.83
100019,05-Jan-2023,IndiGo,Travel,4588.76,Cash,Hyderabad,Expense,46094.07
100020,05/01/2023,Campus Canteen,Food & Dining,170.06,Debit Card,Noida,Expense,45924.01
100021,05/01/2023,NPS,Investment,2227.55,  UPI ,Gurugram,Expense,43696.46
100022,2023-01-05,Airtel,Bills,262.9,Debit Card,Gurugram,Expense,43433.56
100023,05/01/2023,Uber,Transportation,205.51,UPI,Noida,Expense,43228.05
100024,06-Jan-2023,McDonald's,Food & Dining,276.86,Cash,Gurugram,Expense,42951.19
100025,06/01/2023,Burger King,Dining,180.96,Net Banking,New Delhi,Expense,42770.23
